run_timestamp,model_type,scale_tag,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,return_best_iteration,rent_best_test,return_best_test,rent_final_metric,return_final_metric,rent_classifier_logloss,rent_regressor_poisson_pos,return_classifier_logloss,return_regressor_poisson_pos,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_od_wait,cb_iterations
auto_cb_20260417_103732_001,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,426,361,-2.132602693214432,-2.1117352691384057,1.0703721946836449,1.173377268335014,,,,,Poisson,Poisson,0.015,8,3.0,15,3000
auto_cb_20260417_103814_002,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,450,361,-2.1301566252269666,-2.1139987571750716,1.075263457108445,1.1688498234267708,,,,,Poisson,Poisson,0.015,8,3.0,30,3000
auto_cb_20260417_104339_001,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,358,361,-2.126443479836584,-2.1117354979353364,1.0826897568174305,1.1733771171992982,,,,,Poisson,Poisson,0.015,8,3.0,15,3000
auto_cb_20260417_104420_002,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,450,361,-2.130149761319042,-2.111737328310783,1.0752785232682935,1.173373870735742,,,,,Poisson,Poisson,0.015,8,3.0,30,3000
auto_cb_20260417_104501_003,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,426,361,-2.1325587642037136,-2.1118835295495813,1.070460326839529,1.1730801467456375,,,,,Poisson,Poisson,0.015,8,4.0,15,3000
auto_cb_20260417_104543_004,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,434,361,-2.1306162782609968,-2.111884215940374,1.0743454674054005,1.173078274877339,,,,,Poisson,Poisson,0.015,8,4.0,30,3000
auto_cb_20260417_104625_005,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,428,321,-2.131291229206935,-2.1079388416652023,1.0729944963040283,1.18097018133624,,,,,Poisson,Poisson,0.015,8,5.0,15,3000
auto_cb_20260417_104704_006,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,428,361,-2.1312967203332747,-2.1110193635418497,1.0729827633092357,1.1748092057690016,,,,,Poisson,Poisson,0.015,8,5.0,30,3000
auto_cb_20260417_104745_007,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,325,338,-2.128799630630235,-2.1148192229690155,1.0779782373645974,1.1672093719773333,,,,,Poisson,Poisson,0.015,9,3.0,15,3000
auto_cb_20260417_104831_008,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,386,429,-2.1321661486704153,-2.118911027279916,1.071244390290995,1.1590258651966538,,,,,Poisson,Poisson,0.015,9,3.0,30,3000
auto_cb_20260417_104928_009,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,353,361,-2.130175844169156,-2.121523430636092,1.075226130378184,1.15379915160902,,,,,Poisson,Poisson,0.015,9,4.0,15,3000
auto_cb_20260417_105019_010,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,386,425,-2.1310175880776665,-2.125154437928308,1.0735411005904196,1.146537689230257,,,,,Poisson,Poisson,0.015,9,4.0,30,3000
auto_cb_20260417_105108_011,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,353,274,-2.1297216822614655,-2.1111776910179816,1.0761341938955702,1.1744913063872722,,,,,Poisson,Poisson,0.015,9,5.0,15,3000
auto_cb_20260417_105144_012,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,424,424,-2.13303672099221,-2.122284409228021,1.0695055731261247,1.1522769187859303,,,,,Poisson,Poisson,0.015,9,5.0,30,3000
auto_cb_20260417_105230_013,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,305,337,-2.129452388273883,-2.1169204939817257,1.076673251614601,1.1630054296796684,,,,,Poisson,Poisson,0.015,10,3.0,15,3000
auto_cb_20260417_105326_014,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,344,346,-2.1313683337726235,-2.1179404706993497,1.0728405927694045,1.160964840049208,,,,,Poisson,Poisson,0.015,10,3.0,30,3000
auto_cb_20260417_105426_015,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,329,337,-2.1304009803490893,-2.117825614640075,1.0747753225153365,1.1611962685611459,,,,,Poisson,Poisson,0.015,10,4.0,15,3000
auto_cb_20260417_105520_016,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,329,337,-2.1304005227552274,-2.1178263010308673,1.0747749124538795,1.16119458461628,,,,,Poisson,Poisson,0.015,10,4.0,30,3000
auto_cb_20260417_105617_017,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,305,341,-2.1295141634452057,-2.118886546008317,1.0765484035350665,1.1590732370734822,,,,,Poisson,Poisson,0.015,10,5.0,15,3000
auto_cb_20260417_105711_018,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,326,329,-2.1306771382445966,-2.1159641228108708,1.0742238066282674,1.1649189196255105,,,,,Poisson,Poisson,0.015,10,5.0,30,3000
auto_cb_20260417_105809_019,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,339,299,-2.1318327915422013,-2.1171474605371055,1.0719096085010633,1.1625541743901016,,,,,Poisson,Poisson,0.02,8,3.0,15,3000
auto_cb_20260417_105836_020,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,339,299,-2.1318353083084403,-2.1171460877555206,1.0719057619160384,1.1625550967103984,,,,,Poisson,Poisson,0.02,8,3.0,30,3000
auto_cb_20260417_105903_021,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,311,299,-2.1279247111667545,-2.117473724960464,1.079728342789249,1.1619008960110841,,,,,Poisson,Poisson,0.02,8,4.0,15,3000
auto_cb_20260417_105929_022,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,339,299,-2.1291808063169917,-2.1174780721021498,1.0772166102027632,1.1618921703947427,,,,,Poisson,Poisson,0.02,8,4.0,30,3000
auto_cb_20260417_105956_023,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,294,243,-2.1293576663445206,-2.112006393501435,1.0768628958380166,1.172835015055388,,,,,Poisson,Poisson,0.02,8,5.0,15,3000
auto_cb_20260417_110019_024,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,294,243,-2.1293617846892756,-2.1120054783137117,1.0768545545088697,1.1728356794886403,,,,,Poisson,Poisson,0.02,8,5.0,30,3000
auto_cb_20260417_110043_025,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,259,237,-2.1308997576582906,-2.1131419126691267,1.0737777863482527,1.170561920037066,,,,,Poisson,Poisson,0.02,9,3.0,15,3000
auto_cb_20260417_110114_026,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,259,237,-2.1307720889708897,-2.1130879165934515,1.0740323944621966,1.1706700366980536,,,,,Poisson,Poisson,0.02,9,3.0,30,3000
